label_level_1,label_level_2,label_level_3,label_level_4,label_level_5,label_level_1_encoded,label_level_2_encoded,label_level_3_encoded,label_level_4_encoded,label_level_5_encoded
A,1,11,111,1111,0,0,0,0,0
A,1,11,111,1112,0,0,0,0,1
A,1,11,111,1113,0,0,0,0,2
A,1,11,111,1114,0,0,0,0,3
A,1,11,111,1115,0,0,0,0,4
A,1,11,111,1116,0,0,0,0,5
A,1,11,111,1117,0,0,0,0,6
A,1,11,111,1118,0,0,0,0,7
A,1,11,111,1119,0,0,0,0,8
A,1,11,112,1121,0,0,0,1,9
A,1,11,112,1122,0,0,0,1,10
A,1,11,113,1131,0,0,0,2,11
A,1,11,113,1132,0,0,0,2,12
A,1,11,113,1133,0,0,0,2,13
A,1,11,113,1134,0,0,0,2,14
A,1,11,113,1135,0,0,0,2,15
A,1,11,113,1136,0,0,0,2,16
A,1,11,113,1137,0,0,0,2,17
A,1,11,113,1139,0,0,0,2,18
A,1,11,114,1140,0,0,0,3,19
A,1,11,115,1150,0,0,0,4,20
A,1,11,116,1160,0,0,0,5,21
A,1,11,119,1191,0,0,0,6,22
A,1,11,119,1192,0,0,0,6,23
A,1,11,119,1193,0,0,0,6,24
A,1,11,119,1194,0,0,0,6,25
A,1,11,119,1199,0,0,0,6,26
A,1,12,121,1210,0,0,1,7,27
A,1,12,122,1220,0,0,1,8,28
A,1,12,123,1230,0,0,1,9,29
A,1,12,124,1240,0,0,1,10,30
A,1,12,125,1251,0,0,1,11,31
A,1,12,125,1252,0,0,1,11,32
A,1,12,125,1253,0,0,1,11,33
A,1,12,125,1259,0,0,1,11,34
A,1,12,126,1261,0,0,1,12,35
A,1,12,126,1262,0,0,1,12,36
A,1,12,126,1269,0,0,1,12,37
A,1,12,127,1270,0,0,1,13,38
A,1,12,128,1281,0,0,1,14,39
A,1,12,128,1282,0,0,1,14,40
A,1,12,128,1283,0,0,1,14,41
A,1,12,128,1284,0,0,1,14,42
A,1,12,128,1285,0,0,1,14,43
A,1,12,128,1286,0,0,1,14,44
A,1,12,128,1287,0,0,1,14,45
A,1,12,128,1289,0,0,1,14,46
A,1,12,129,1291,0,0,1,15,47
A,1,12,129,1299,0,0,1,15,48
A,1,13,130,1301,0,0,2,16,49
A,1,13,130,1302,0,0,2,16,50
A,1,14,141,1411,0,0,3,17,51
A,1,14,141,1412,0,0,3,17,52
A,1,14,141,1413,0,0,3,17,53
A,1,14,141,1414,0,0,3,17,54
A,1,14,142,1420,0,0,3,18,55
A,1,14,143,1430,0,0,3,19,56
A,1,14,144,1441,0,0,3,20,57
A,1,14,144,1442,0,0,3,20,58
A,1,14,144,1443,0,0,3,20,59
A,1,14,144,1444,0,0,3,20,60
A,1,14,144,1445,0,0,3,20,61
A,1,14,145,1450,0,0,3,21,62
A,1,14,146,1461,0,0,3,22,63
A,1,14,146,1462,0,0,3,22,64
A,1,14,146,1463,0,0,3,22,65
A,1,14,146,1464,0,0,3,22,66
A,1,14,146,1465,0,0,3,22,67
A,1,14,146,1466,0,0,3,22,68
A,1,14,146,1467,0,0,3,22,69
A,1,14,146,1468,0,0,3,22,70
A,1,14,146,1469,0,0,3,22,71
A,1,14,149,1491,0,0,3,23,72
A,1,14,149,1492,0,0,3,23,73
A,1,14,149,1493,0,0,3,23,74
A,1,14,149,1494,0,0,3,23,75
A,1,14,149,1495,0,0,3,23,76
A,1,14,149,1496,0,0,3,23,77
A,1,14,149,1497,0,0,3,23,78
A,1,14,149,1499,0,0,3,23,79
A,1,16,161,1611,0,0,4,24,80
A,1,16,161,1612,0,0,4,24,81
A,1,16,161,1613,0,0,4,24,82
A,1,16,161,1614,0,0,4,24,83
A,1,16,161,1619,0,0,4,24,84
A,1,16,162,1621,0,0,4,25,85
A,1,16,162,1622,0,0,4,25,86
A,1,16,162,1623,0,0,4,25,87
A,1,16,162,1629,0,0,4,25,88
A,1,16,163,1630,0,0,4,26,89
A,1,16,164,1640,0,0,4,27,90
A,1,17,171,1711,0,0,5,28,91
A,1,17,171,1712,0,0,5,28,92
A,1,17,171,1713,0,0,5,28,93
A,1,17,171,1714,0,0,5,28,94
A,1,17,171,1715,0,0,5,28,95
A,1,17,171,1719,0,0,5,28,96
A,1,17,172,1721,0,0,5,29,97
A,1,17,172,1722,0,0,5,29,98
A,1,17,172,1723,0,0,5,29,99
A,1,17,172,1724,0,0,5,29,100
A,1,17,172,1725,0,0,5,29,101
A,1,17,172,1726,0,0,5,29,102
A,1,17,172,1727,0,0,5,29,103
A,1,17,172,1729,0,0,5,29,104
